"","id","host_id.x","neighbourhood_cleansed.x","room_type.x","price.x","number_of_reviews.x","last_review.x","reviews_per_month.x","host_id.y","neighbourhood_cleansed.y","room_type.y","price.y","number_of_reviews.y","last_review.y","reviews_per_month.y"
"14168",31873591,158400239,"Centrum-West","Private room",82,62,2020-06-21,2.74,158400239,"Centrum-West","Private room",132,62,2020-06-21,2.63
"14169",31890769,82048239,"Centrum-Oost","Entire home/apt",175,9,2020-08-03,0.4,82048239,"Centrum-Oost","Entire home/apt",175,9,2020-08-03,0.39
"14170",31895423,239085385,"Osdorp","Private room",55,5,2019-03-01,0.22,239085385,"Osdorp","Private room",55,5,2019-03-01,0.21
"14171",31895639,234692994,"Oud-Oost","Entire home/apt",300,1,2019-06-10,0.05,234692994,"Oud-Oost","Entire home/apt",300,1,2019-06-10,0.05
"14172",31902775,48703385,"Centrum-West","Entire home/apt",40,27,2020-11-18,1.22,48703385,"Centrum-West","Entire home/apt",220,28,2020-12-14,1.21
"14173",31917406,7700466,"Oostelijk Havengebied - Indische Buurt","Entire home/apt",125,2,2019-10-20,0.13,7700466,"Oostelijk Havengebied - Indische Buurt","Entire home/apt",125,2,2019-10-20,0.12
"14174",31925577,42902272,"Buitenveldert - Zuidas","Private room",63,47,2020-02-23,2.11,42902272,"Buitenveldert - Zuidas","Private room",63,47,2020-02-23,2.02
"14175",31940174,137637756,"Westerpark","Entire home/apt",144,4,2019-11-25,0.26,137637756,"Westerpark","Entire home/apt",150,4,2019-11-25,0.25
"14176",31942766,239043602,"Oostelijk Havengebied - Indische Buurt","Private room",118,22,2020-07-11,1.02,239043602,"Oostelijk Havengebied - Indische Buurt","Private room",149,22,2020-07-11,0.98
"14177",31944927,237150404,"Centrum-West","Hotel room",26,22,2020-08-15,1.27,237150404,"Centrum-West","Hotel room",26,22,2020-08-15,1.2
"14178",31944954,237150404,"Centrum-West","Hotel room",53,11,2020-03-04,0.75,237150404,"Centrum-West","Hotel room",53,11,2020-03-04,0.71
"14179",31945032,237150404,"Centrum-West","Hotel room",25,31,2020-01-31,1.85,237150404,"Centrum-West","Hotel room",25,31,2020-01-31,1.75
"14180",31945057,237150727,"Zuid","Hotel room",18,140,2020-03-04,7.91,237150727,"Zuid","Hotel room",18,140,2020-03-04,7.51
"14181",31945078,237150727,"Zuid","Hotel room",23,37,2020-01-18,2.1,237150727,"Zuid","Hotel room",23,37,2020-01-18,1.99
"14182",31945123,237150996,"Centrum-West","Shared room",37,100,2020-02-26,6.02,237150996,"Centrum-West","Shared room",36,100,2020-02-26,5.68
"14183",31945182,237150996,"Centrum-West","Private room",125,91,2020-03-06,5.62,237150996,"Centrum-West","Private room",122,91,2020-03-06,5.31
"14184",31945260,237150996,"Centrum-West","Shared room",35,170,2020-03-16,10.2,237150996,"Centrum-West","Shared room",34,170,2020-03-16,9.64
"14185",31945342,237150996,"Centrum-West","Private room",125,26,2020-03-06,1.63,237150996,"Centrum-West","Private room",122,26,2020-03-06,1.54
"14186",31948590,2144134,"Oostelijk Havengebied - Indische Buurt","Entire home/apt",90,0,NA,NA,2144134,"Oostelijk Havengebied - Indische Buurt","Entire home/apt",90,0,NA,NA
"14187",31953991,5653882,"De Baarsjes - Oud-West","Entire home/apt",200,4,2020-02-17,0.18,5653882,"De Baarsjes - Oud-West","Entire home/apt",200,4,2020-02-17,0.17
"14188",31972879,70131587,"Westerpark","Entire home/apt",125,0,NA,NA,70131587,"Westerpark","Entire home/apt",125,0,NA,NA
"14189",31979911,239764380,"De Aker - Nieuw Sloten","Private room",127,22,2020-03-02,0.96,239764380,"De Aker - Nieuw Sloten","Private room",111,22,2020-03-02,0.92
"14190",31997903,17190786,"Zuid","Entire home/apt",350,7,2019-06-16,0.32,17190786,"Zuid","Entire home/apt",350,7,2019-06-16,0.3
"14191",31998802,116527607,"Centrum-West","Entire home/apt",71,116,2020-12-08,5.21,116527607,"Centrum-West","Entire home/apt",91,123,2021-01-04,5.3
"14192",32002767,186231304,"Oud-Noord","Entire home/apt",130,18,2019-04-28,0.8,186231304,"Oud-Noord","Entire home/apt",130,18,2019-04-28,0.77
"14193",32004779,153607289,"Bos en Lommer","Entire home/apt",50,11,2019-04-29,0.48,153607289,"Bos en Lommer","Entire home/apt",50,11,2019-04-29,0.46
